מספר סידורי,קישור-באתר,שם הסרט,שנה,אורך,ז'אנר,שחקנים,תיקייה
28,http://www.torec.net/sub.asp?sub_id=205,בתול בן 40,2005,116 דקות,"קומדיה, רומנטיקה",סטיב קרל קתרין קינר פול ראד רומני מלקו סת רוג'ר אליזבת בנקס,movies/בתול בן 40.txt
29,http://www.torec.net/sub.asp?sub_id=143,משימה בגוב האריות,2003,100 דקות,מתח,סטפן דורף בוב הוסקינס לורה פרייזר יאן הארט דיוויד אוהרה,movies/משימה בגוב האריות.txt
30,http://www.torec.net/sub.asp?sub_id=1630,זורו 2 - האגדה של זורו,2005,130 דקות,"פעולה, אקשן, מערבון",אנטוניו בנדרס קתרין זיטה ג'ונס גיואנה זאכאריס ראול מנדז אדריאן אלונסו רופוס סיוול,movies/זורו 2 - האגדה של זורו.txt
31,http://www.torec.net/sub.asp?sub_id=1677,חיים בלתי גמורים,2005,101 דקות,דרמה,רוברט רדפורד ג'ניפר לופז מורגן פרימן ג'וש לוקאס בקה גרדנר קמרין מנהיים,movies/חיים בלתי גמורים.txt
32,http://www.torec.net/sub.asp?sub_id=1611,האחד,2001,87 דקות,אקשן - פעולה - מדע בדיוני,ג'ט לי דלרוי לינדו ג'ייסון סטאת'אם קרלה גוגינו,movies/האחד.txt
33,http://www.torec.net/sub.asp?sub_id=1608,דוח מיוחד,2002,145 דקות,פעולה - מדע בדיוני,טום קרוז סמנתה מורטון קולין פארל,movies/דוח מיוחד.txt
34,http://www.torec.net/sub.asp?sub_id=1601,נעדר באמריקה,2005,102 דקות,דרמה,דני גלובר לינדה המילטון דיויד סטרתיירן רון פלרמן,movies/נעדר באמריקה.txt
35,http://www.torec.net/sub.asp?sub_id=1598,הבריחה,1972,122 דקות,"מתח, פשע",סטיב מקווין אלי מקגרו בן ג'ונסון סאלתי סתרת'רס,movies/הבריחה.txt
36,http://www.torec.net/sub.asp?sub_id=1587,אליזבט טאון,2005,123 דקות,קומדיה / רומנטיקה,אורלנדו בלום קירסטן דאנסט סוזן סרנדון אלק בולדווין ג'ודי גריר ברוס מקגיל ג'סיקה ביאל פול שניידר לודון וויינרייט ג'אד ריס,movies/אליזבט טאון.txt
37,http://www.torec.net/sub.asp?sub_id=1490,סופרמן 2,1980,127 דקות,פעולה / הרפתקאות / מדע בדיוני,כריסטופר ריבס ג'ין הקמן מרגו קידר נד ביטי טרנס סטמפ,movies/סופרמן 2.txt
