מספר סידורי,קישור-באתר,שם הסרט,שנה,אורך,ז'אנר,שחקנים,תיקייה 
887,http://www.torec.net/sub.asp?sub_id=39518,פעם ביער,2013,78 דקות,דוקומנטרי / זר (צרפתית),,movies/פעם ביער.txt
888,http://www.torec.net/sub.asp?sub_id=39516,החשבון,2014,86 דקות,פשע / מיסתורין / מתח,לוק המסוורת' ג'ונתן לפגליה,movies/החשבון.txt
889,http://www.torec.net/sub.asp?sub_id=39502,דליברנס קריק,2014,87 דקות,דרמה,,movies/דליברנס קריק.txt
890,http://www.torec.net/sub.asp?sub_id=38476,יומיים ולילה,2014,95 דקות,דרמה / זר (צרפתית),מריון קוטיאר פאבריציו רונגיונה אוליבייר גורמט כריסטל קורניל קת'רין סלי,movies/יומיים ולילה.txt
891,http://www.torec.net/sub.asp?sub_id=39501,עין רעה 2,2014,90 דקות,אימה,גלן ג'ייקובס דניאלה האריס קתרין איזבל קאג'-אריק אריקסן צ'ילאן סימונס,movies/עין רעה 2.txt
892,http://www.torec.net/sub.asp?sub_id=38344,אנשים טובים,2014,91 דקות,מתח / פעולה / פשע,ג'יימס פרנקו קייט הדסון אנה פריל טום וילקינסון עומאר סיי,movies/אנשים טובים.txt
893,http://www.torec.net/sub.asp?sub_id=38499,חיים אחרי בת',2014,89 דקות,אימה / קומדיה / רומנטיקה,,movies/חיים אחרי בת'.txt
894,http://www.torec.net/sub.asp?sub_id=38479,טעות ברישום,2013,107 דקות,דרמה / קומדיה / רומנטיקה,מיצ'אל גנדרי מייקל שין פול ראד טינה פיי לילי טומלין נאט וולף לורן שאפל,movies/טעות ברישום.txt
895,http://www.torec.net/sub.asp?sub_id=38496,קיץ בפברואר,2013,100 דקות,ביוגרפיה / דרמה / רומנטיקה,דומיניק קופר אמילי ברוונינג אי דן סטיבנס איו האטי מורהאן שון דינגוול מקס דאקון מיצ'אל מלוני,movies/קיץ בפברואר.txt
896,http://www.torec.net/sub.asp?sub_id=38490,ילד בוודאות,2014,84 דקות,קומדיה / רומנטיקה,,movies/ילד בוודאות.txt
897,http://www.torec.net/sub.asp?sub_id=38478,28 קילו,2012,101 דקות,מתח,סטפן דילן דרק רידל פורבס קב קירסטון וורינג מלאני היל ניקולה בורלי קאיה סקודלריו,movies/28 קילו.txt
898,http://www.torec.net/sub.asp?sub_id=38477,הכומר,2014,100 דקות,דרמה / קומדיה,ברנדן גליסון כריס או'דווד קלי ריילי איידן גילן דילן מורן איסאץ' דה בנקול מ אמט וולש,movies/הכומר.txt
899,http://www.torec.net/sub.asp?sub_id=38475,מלחמת חיים,2011,100 דקות,דרמה / זר (צרפתית),בלרי דונצלי ג'רמי אלקאים בריגיט סי אלינה לוונסוהן מיצ'ל מורטי פיליפ לאודנבץ' בסטיאן בווילון,movies/מלחמת חיים.txt
900,http://www.torec.net/sub.asp?sub_id=34629,אוד תומס,2013,100 דקות,מיסתורין / מתח,אנטון ילצ'ין אשלי סומרס לאונור ורלה מאטהו פג' אי קסי מסיר ברני לנינג ניקו תורטורלה,movies/אוד תומס.txt
901,http://www.torec.net/sub.asp?sub_id=38472,מקום מקלט,2013,81 דקות,אימה / מתח,מלאני פאפליה דוויד שלצ'טנהופן מאט ריידי אדם שאפירו מאט לסקי קטיה פווק רון בוטיטה,movies/מקום מקלט.txt
902,http://www.torec.net/sub.asp?sub_id=38470,המסע,2014,122 דקות,דרמה / מערבון,טומי לי ג'ונס הילארי סוואנק גרס גומר מירנדה אוטו סונג' ריצ'טר אי דיוויד דנקיק ג'ון ליתגו,movies/המסע.txt
903,http://www.torec.net/sub.asp?sub_id=38469,לאלף את הבנות,2013,86 דקות,מתח / פשע,מדלין זימה שון אשמור טיה סירקר מאניש דאייל ג'ניפר אן מאסי מארק קסימיר דיניאוויכז שון דלי,movies/לאלף את הבנות.txt
904,http://www.torec.net/sub.asp?sub_id=38461,לילה מסוכן,2014,118 דקות,אימה / מתח / פשע,אריק באנה אדגר רמירז אוליביה מאן שון האריס ג'ו מק'הייל דוריאן מיסיק אנטוינט לייבכצ'יה,movies/לילה מסוכן.txt
905,http://www.torec.net/sub.asp?sub_id=38335,רחוב ג'אמפ 22,2014,112 דקות,פעולה / פשע / קומדיה,ג'ונה היל צ'אנינג טייטום פיטר סטורמר אייס קיוב ג'ו צ'רסט ג'והני פמברטון ת'ה לוכס ברוט'ארס,movies/רחוב ג'אמפ 22.txt
906,http://www.torec.net/sub.asp?sub_id=38458,הנוער,2013,107 דקות,דרמה,אורי הוכמן אלכסנדר פלג,movies/הנוער.txt
907,http://www.torec.net/sub.asp?sub_id=12608,מה עובר על גילברט (החיים על פי גילברט),1993,118 דקות,דרמה / קומדיה / רומנטיקה,ג'וני דפ ליאונרדו דקפריו ג'ולייט לואיס מרי סטרינבורגן דרלין קייטס לאורה הארינגטון מארי-קייט שלדהארט,movies/מה עובר על גילברט (החיים על פי גילברט).txt
908,http://www.torec.net/sub.asp?sub_id=7562,השער התשיעי,1999,133 דקות,מתח / אימה / מיסתורין,ג'וני דפ פרנק לנגלה לנה אולן עמנואל סייגנר ג'ק טיילור ברברה ג'פורד ג'יימס רוסו,movies/השער התשיעי.txt
909,http://www.torec.net/sub.asp?sub_id=1038,ג'קי בראון,1997,151 דקות,דרמה,סמואל ל. ג'קסון פאם גריר ברידג'ט פונדה רוברט דה נירו,movies/ג'קי בראון.txt
910,http://www.torec.net/sub.asp?sub_id=906,מה קרה בגטקה,1997,101 דקות,דרמה / מתח / מדע בדיוני,איתן הוק אומה ת'ורמן ג'וד לאו,movies/מה קרה בגטקה.txt
911,http://www.torec.net/sub.asp?sub_id=5283,ממעמקי הגיהנום,2001,122 דקות,אימה / ביוגרפיה / מיסתורין / מתח / פשע,ג'וני דפ הת'ר גראהם איאן הולם רובי קולטריין איאן ריצ'דסון ג'יסון פלאמינג קטרין קארטלידג',movies/ממעמקי הגיהנום.txt
912,http://www.torec.net/sub.asp?sub_id=2599,באטמן,1989,126 דקות,פנטזיה / מתח / פעולה,מייקל קיטון ג'ק ניקולסון קים בייסינגר רוברט וול פט הינגל בילי דוויליאמס מיכאל ג'וך,movies/באטמן.txt
913,http://www.torec.net/sub.asp?sub_id=7551,חלום אריזונה,1993,142 דקות,קומדיה / דרמה / פנטזיה,ג'וני דפ ג'רי לואיס פיי דאנאוויי לילי טיילור וינסנט גאלו פאולינה פוריזקובה מייקל ג'יי פולארד,movies/חלום אריזונה.txt
914,http://www.torec.net/sub.asp?sub_id=38451,ריגור מורטיס,2013,105 דקות,אימה / דרמה / פעולה,,movies/ריגור מורטיס.txt
915,http://www.torec.net/sub.asp?sub_id=38443,סולו בשניים,2013,97 דקות,דרמה / זר (צרפתית),פרנסואה קלוזה סאמי סגיר ורג'יני אפירה גילום קאנט קארין ונסה ארלי ג'ובר דנה פריגאנט,movies/סולו בשניים.txt
916,http://www.torec.net/sub.asp?sub_id=38422,התחלה חדשה,2013,104 דקות,דרמה / מוזיקלי / קומדיה,ליסה ספוריר ביל גילאיין דוסטי ג'ונס סבנה קילי לוויס אליזבת' האלס סטיב בט'ארס קרטר בלנך אי,movies/התחלה חדשה.txt
917,http://www.torec.net/sub.asp?sub_id=38421,בכל מחיר,2012,105 דקות,דרמה / מתח,קים דיקנס הת'ר גרהאם קלאנסי בראון צ'לסי רוס רד ווסט זאק אפרון ג'ס דבסון,movies/בכל מחיר.txt
918,http://www.torec.net/sub.asp?sub_id=38409,בורגמן,2013,113 דקות,דרמה / מתח / זר (הולנדית),יאן ביווט האדוויץ' מיניס חרואן פרסיבל שרה היורט דיטלווסן אווה ואן דה ווידבן,movies/בורגמן.txt
919,http://www.torec.net/sub.asp?sub_id=38394,אליסה בארץ הרציחות,2010,90 דקות,אימה / מתח,,movies/אליסה בארץ הרציחות.txt
920,http://www.torec.net/sub.asp?sub_id=38388,היו זמנים בשנחאי,2014,96 דקות,פעולה / פשע,,movies/היו זמנים בשנחאי.txt
921,http://www.torec.net/sub.asp?sub_id=38387,הרפתקאותיו של קפטן הרלוק,2013,115 דקות,אנימציה / מדע בדיוני / זר (יפנית),מאיה סאקאמוטו שון אוגורי טושיוקי מוריקאווה ארטה פורוטה קייושי קובאיאשי אי הארומה מיורה צ'יקו אוהטסוקה,movies/הרפתקאותיו של קפטן הרלוק.txt
922,http://www.torec.net/sub.asp?sub_id=38368,הבית הרדוף 2,2014,86 דקות,קומדיה / אימה,ג'יימי פרסלי מרלון ויינס דייב שרידן אסנס אטקינס כריס גן אפיון קרוקט אשלי ריקארדס,movies/הבית הרדוף 2.txt
923,http://www.torec.net/sub.asp?sub_id=3094,הניצוץ,1980,146 דקות,מתח / אימה,ג'ק ניקולסון שלי דובאל דני לויד סקאטמן כרודרס ברי נלסון פיליפ סטון ג'ו טורקל,movies/הניצוץ.txt
924,http://www.torec.net/sub.asp?sub_id=38336,כנס העתידנים,2013,122 דקות,מדע בדיוני / פעולה,הארוי קאיטאל רובין רייט ג'ון האם קודי סמית מקפי דני יוסטון סמי גאיל מיצ'אל סטאהל-דוויד אי מייקל לנדס,movies/כנס העתידנים.txt
925,http://www.torec.net/sub.asp?sub_id=38363,לכידות,2013,89 דקות,מדע בדיוני / מתח,,movies/לכידות.txt
926,http://www.torec.net/sub.asp?sub_id=38361,צ'אנס אחרון,2013,103 דקות,ביוגרפיה / קומדיה / דרמה,ג'מימה רופר רג'י ייטס מק'קנזי קרוק קתרין דרייסדייל ג'ולי וולטרס סם כריד ג'יימס קורדן,movies/צ'אנס אחרון.txt
927,http://www.torec.net/sub.asp?sub_id=38358,ג'יי וסת' נגד האפוקליפסה,2007,10 דקות,סרט קצר / קומדיה,סת' רוגן ג'יי ברושל,movies/ג'יי וסת' נגד האפוקליפסה.txt
928,http://www.torec.net/sub.asp?sub_id=35872,חבלה,2014,109 דקות,דרמה / מתח / פעולה / פשע,מרטין דונובן מיצ'אל מונקס דילסי דוויס ארנולד שוורצנגר הארולד פארינאו אוליביה וויליאמס ראלף מוולר,movies/חבלה.txt
929,http://www.torec.net/sub.asp?sub_id=37123,הרדיפה של מייקל קינג,2014,83 דקות,אימה,שיין ג'ונסון אלה אנדרסון תומאס אראנה,movies/הרדיפה של מייקל קינג.txt
930,http://www.torec.net/sub.asp?sub_id=35750,המתאגרף,2014,85 דקות,דרמה,ג'יימס קאן פמקה ג'נסן אדם ביץ' קים קוטקס דומיניק פרסל מייקל אירונסיד לואיס גוסט ג'וניור,movies/המתאגרף.txt
931,http://www.torec.net/sub.asp?sub_id=38350,טיסה 7500,2014,97 דקות,אימה / מיסתורין / מתח,איימי סמארט לסלי ביב ריאן קוונטן,movies/טיסה 7500.txt
932,http://www.torec.net/sub.asp?sub_id=37258,משתוללת,2014,97 דקות,קומדיה,נאט וולף סלינה גומז מרי-לואיז פרקר אליזבת שו דילן מקדרמוט,movies/משתוללת.txt
933,http://www.torec.net/sub.asp?sub_id=36946,האיש הכי כועס בברוקלין,2014,83 דקות,דרמה / קומדיה,רובין וויליאמס לי גרלינגטון ג'יימס ארל ג'ונס ריצ'ארד קיינד פיטר דינקלייג' האמיש לינקלאטר מילה קוניס,movies/האיש הכי כועס בברוקלין.txt
934,http://www.torec.net/sub.asp?sub_id=4502,כלבי אשמורת,1992,99 דקות,פעולה / מתח / פשע,הארווי קייטל טים רות' מייקל מדסן סטיב בושמי כריס פן לורנס טירני קוונטין טרנטינו רנדי ברוקס אדי בנקר,movies/כלבי אשמורת.txt
935,http://www.torec.net/sub.asp?sub_id=13546,אזור הדמדומים (החצי האפל הסרט),1983,103 דקות,אימה / דרמה / מיסתורין / מתח / פנטזיה,כריסטופר ווקן ברוק אדמס טום סקריט הרברט לום אנת'וני זרב קולין דיוהורסט מרטין שין,movies/אזור הדמדומים (החצי האפל הסרט).txt
936,http://www.torec.net/sub.asp?sub_id=38328,גוף שלישי,2013,137 דקות,דרמה / רומנטיקה,ג'יימס פרנקו ליאם ניסן קים בייסינגר קרוליין גודאל מריה בלו אדריאן ברודי מילה קוניס,movies/גוף שלישי.txt
937,http://www.torec.net/sub.asp?sub_id=35766,קצה המחר,2014,113 דקות,מדע בדיוני / פעולה,טום קרוז מריאן ז'אן באפטיסט ביל פקסטון ג'רמי פיבן אמילי בלאנט ג'ונס ארמסטרונג קיק גורי,movies/קצה המחר.txt
938,http://www.torec.net/sub.asp?sub_id=38323,הפיתוי הגדול,2013,113 דקות,קומדיה,ברנדן גליסון טיילור קיטש גורדון פינסנט ליאן בלאבן,movies/הפיתוי הגדול.txt
939,http://www.torec.net/sub.asp?sub_id=38322,מי מפחד מהזאב הרע,2013,110 דקות,ישראלי / מתח / פשע / קומדיה / זר (עברית),ליאור אשכנזי קאיס נאשף צחי גראד עמי ויינברג נטי קולגר גיא אדלר דוויר בנדק,movies/מי מפחד מהזאב הרע.txt
940,http://www.torec.net/sub.asp?sub_id=38320,לוק,2013,85 דקות,דרמה / מתח,סילאס קארסון טום הארדי בן דניאלס אוליביה קולמן רות' ווילסון ביל מילנר דני וב,movies/לוק.txt
941,http://www.torec.net/sub.asp?sub_id=38317,משפט האפס,2013,107 דקות,דרמה / מדע בדיוני / פנטזיה,כריסטוף וולץ מלאני ת'יארי דיוויד ת'ווליס לוכס הדגס מאט דיימון בן ווישאו טילדה סווינטון,movies/משפט האפס.txt
942,http://www.torec.net/sub.asp?sub_id=38304,משחק תפקידים,2013,103 דקות,פעולה / הרפתקאות / מדע בדיוני,,movies/משחק תפקידים.txt
943,http://www.torec.net/sub.asp?sub_id=37287,קור ביולי,2014,109 דקות,דרמה / מתח,רצ'ל ציגר-האג סאם שפרד וינסה שו מייקל סי הול לאני פלארטי דון ג'ונסון ניק ד'אמיצ'י,movies/קור ביולי.txt
944,http://www.torec.net/sub.asp?sub_id=37284,פרנק,2014,95 דקות,דרמה / מיסתורין / קומדיה,מגי ג'ילנהול מייקל פאסבנדר טס הרפר דוהנל גליסון סקוט מק'ניירי טרוויס האמר ברוס מקינטוש,movies/פרנק.txt
945,http://www.torec.net/sub.asp?sub_id=37282,רוצחים,2014,137 דקות,דרמה / פעולה / פשע,,movies/רוצחים.txt
946,http://www.torec.net/sub.asp?sub_id=37280,סלעי טורנדו,2013,90 דקות,מדע בדיוני,,movies/סלעי טורנדו.txt
947,http://www.torec.net/sub.asp?sub_id=37274,אגדת האגרוף שובו של צ'אן ז'ן,2010,105 דקות,דרמה / היסטוריה / פעולה,דוני ין אנטוני וונג צ'נאג סנג קי שו סייאן הוו,movies/אגדת האגרוף שובו של צ'אן ז'ן.txt
948,http://www.torec.net/sub.asp?sub_id=37264,נימפומנית חלק ב',2013,123 דקות,דרמה,,movies/נימפומנית חלק ב'.txt
949,http://www.torec.net/sub.asp?sub_id=37259,שני פנים לינואר,2014,96 דקות,מתח,קירסטן דאנסט ויגו מורטנסן אוסקר אייזק בריאן ניבלט סוקרטס אלפווזוס פרומט'אוס אליפר אוקן אוצ'י,movies/שני פנים לינואר.txt
950,http://www.torec.net/sub.asp?sub_id=37251,כמו גדול (אסיר בוגר),2013,106 דקות,דרמה,גרשוין אוסטאץ' ג'נר פיטר פרדיננדו סאם ספרואל רופרט פרנד בן מנדלסון סיאן בראקין ג'ייק או'קונאל,movies/כמו גדול (אסיר בוגר).txt
951,http://www.torec.net/sub.asp?sub_id=35845,מליפיסנט,2014, ,דרמה / הרפתקאות / מיסתורין / משפחה / מתח / פנטזיה / פעולה / רומנטיקה,מירנדה ריצ'ארדסון אנג'לינה ג'ולי אימלדה סטונטון לאסלי מאנויל אל פנינג ג'יימי סיבס קנת קרנהם,movies/מליפיסנט.txt
952,http://www.torec.net/sub.asp?sub_id=37238,מטאל חובק עולם,2008,93 דקות,דוקומנטרי / מוזיקלי,סאם דאן,movies/מטאל חובק עולם.txt
953,http://www.torec.net/sub.asp?sub_id=37237,מר פיבודי ושרמן,2013,92 דקות,אנימציה / הרפתקאות / משפחה,סטפן טובולוסוקי טיי בורל סטפן קולברט אריאל ווינטר אלי קאמפר מקס צ'ארלס,movies/מר פיבודי ושרמן.txt
954,http://www.torec.net/sub.asp?sub_id=37200,שף,2014,114 דקות,קומדיה,מיצ'אל פ גרדנר ג'ון לגוויזמו סקרלט ג'והנסון אוליבר פלאט דסטין הופמן ג'ון פאברו רוברט דאוני ג'וניור,movies/שף.txt
955,http://www.torec.net/sub.asp?sub_id=2258,שליחות קטלנית 2 יום הדין,1991,154 דקות,מתח / פעולה / מדע בדיוני,ארנולד שוורצנגר לינדה המילטון אדוארד פרלונג רוברט פטריק ארל בוהן ג'ו מורטון ס. אפאטה מרקרסון,movies/שליחות קטלנית 2 יום הדין.txt
956,http://www.torec.net/sub.asp?sub_id=1523,שליחות קטלנית,1984,108 דקות,מדע בדיוני / פעולה / מתח,ארנולד שוורצנגר מייקל ביין לינדה המילטון פול וינפילד לנס הנריקסון בס מוטה ארל בוהן,movies/שליחות קטלנית.txt
957,http://www.torec.net/sub.asp?sub_id=37162,מיליון דרכים להתפגר,2014,116 דקות,מערבון / קומדיה,שרה סילברמן איבן ג'ונס ג'ובאני ריביסי ליאם ניסן ווס סטאדי ניל פטריק האריס שרליז ת'רון,movies/מיליון דרכים להתפגר.txt
958,http://www.torec.net/sub.asp?sub_id=37223,בארפי!,2012,151 דקות,דרמה / קומדיה / רומנטיקה / זר (הינדית),רנביר קאפור,movies/בארפי!.txt
959,http://www.torec.net/sub.asp?sub_id=37222,עקבות (דרכים),2013,112 דקות,ביוגרפיה / דרמה / הרפתקאות,מיה וסיקובסקה אמה בות' אדם דרייבר,movies/עקבות (דרכים).txt
960,http://www.torec.net/sub.asp?sub_id=35842,מכת חום,2013,92 דקות,מיסתורין,סטיבן דורף סווטלנה מטקינה מייסי ויליאמס פיטר סטורמר,movies/מכת חום.txt
961,http://www.torec.net/sub.asp?sub_id=37203,ערב אמהות,2014,98 דקות,קומדיה,סרה דרו אי טרייס אדקינס דוויד הונט לאנס א ניקולס שון אוסטין פטרישיה היטון רודה גריפיס,movies/ערב אמהות.txt
962,http://www.torec.net/sub.asp?sub_id=37194,התקוממות אגדה על מיכאל קולהאס,2013,122 דקות,היסטוריה,מדס מיקלסן,movies/התקוממות אגדה על מיכאל קולהאס.txt
963,http://www.torec.net/sub.asp?sub_id=37191,פופולרית,2012,111 דקות,קומדיה,דבורה פרנסואה ברניס בז'ו שון בנסון מלאני ברניר ניקולס בדוס פאודור אטקין מיו מיו,movies/פופולרית.txt
964,http://www.torec.net/sub.asp?sub_id=37136,רובר,2014,103 דקות,דרמה,גאי פירס רוברט פטינסון דייויד פילד אנתוני הייס גיליאן ג'ונס אי סוסן פריור אי תוונד מניימו,movies/רובר.txt
965,http://www.torec.net/sub.asp?sub_id=37177,מים קרים,2013,104 דקות,דרמה / מתח,פג' בוודווסקוה ג'יימס כ בורנס כריס פיטרובסקי אוכטוויוס ג' ג'ונסון ניצ'ולס בטמן איי סטפהאני סימברי מקנזי סידואל גרף,movies/מים קרים.txt
966,http://www.torec.net/sub.asp?sub_id=37163,תשובה,2013,90 דקות,אימה / מתח,פורסט ויטאקר אנתוני מאקי מייק אפס,movies/תשובה.txt
967,http://www.torec.net/sub.asp?sub_id=37147,שכנים,2014,96 דקות,קומדיה,רוז ביירן סת' רוגן זאק אפרון רנדל פארק דייב פרנקו גרי סייברס קרייג רוברטס,movies/שכנים.txt
968,http://www.torec.net/sub.asp?sub_id=37140,אשמת הכוכבים,2014,120 דקות,דרמה,שיילין וודלי הנסל אלגורט ויליאם דפו נט וולף,movies/אשמת הכוכבים.txt
969,http://www.torec.net/sub.asp?sub_id=37141,כימיה טובה,2014,91 דקות,דרמה / קומדיה,סאם רוקוול אוליביה וויילד מישל מונהאן ג'ין פונדה ריי ליוטה לורן ווייט אי קאן ארנולד ברוקס וויליץ',movies/כימיה טובה.txt
970,http://www.torec.net/sub.asp?sub_id=37137,מטאל מסעו של מטאליסט,2005,98 דקות,דוקומנטרי / מוסיקלי / מוזיקלי,כריס אדלר טום אראיה גאווין באדלי בלאספמר רנדי בלית אליס קופר פמלה דס ברס,movies/מטאל מסעו של מטאליסט.txt
971,http://www.torec.net/sub.asp?sub_id=37135,יום הבוחר,2014,109 דקות,דרמה / ספורט,כריס ברמן דייב דונלדסון פטריק סט. אספריט צ'י מקבריג' ג'ניפר גארנר טום ולינג ג'וש פנס,movies/יום הבוחר.txt
972,http://www.torec.net/sub.asp?sub_id=36961,שכונות הפשע,2014,90 דקות,דרמה / פעולה / פשע,פול ווקר דוויד בל גאצ'י בוי קטלינה דניס איישה איסה קרלו רוטה,movies/שכונות הפשע.txt
973,http://www.torec.net/sub.asp?sub_id=35680,"אהבה, שנאה ומה שבניהן",2013,104 דקות,דרמה,קריסטין וויג גיא פירס היילי סטיינפלד ניק נולטי,"movies/אהבה, שנאה ומה שבניהן.txt"
974,http://www.torec.net/sub.asp?sub_id=37094,פנים לאהבה,2013,92 דקות,דרמה / רומנטיקה,אנט בנינג רובין ויליאמס אד האריס,movies/פנים לאהבה.txt
975,http://www.torec.net/sub.asp?sub_id=37092,בקשר לאתמול,2014,100 דקות,קומדיה / רומנטיקה,קווין הארט מייקל איליי רג'ינה הול ג'וי בריאנט כריסטופר מקדונלד אדם רודריגז ג'ו לו טרוליו,movies/בקשר לאתמול.txt
976,http://www.torec.net/sub.asp?sub_id=36918,צוהר,2013,104 דקות,אימה,אשלי בונדס מיגואל סנדובל קייטי סאקהוף רורי קוקראן ג'יימס לאפרטי אנאליס באסו גרט ריאן,movies/צוהר.txt
977,http://www.torec.net/sub.asp?sub_id=37054,הוואלס האחרון,2011,116 דקות,דרמה / קומדיה,מישל וויליאמס סת' רוגן לוק קירבי שרה סילברמן ג'ניפר פודמסקי גרהאם אבי אלברט הוואל,movies/הוואלס האחרון.txt
978,http://www.torec.net/sub.asp?sub_id=37048,על קוסמים ונוודים,2003,108 דקות,דרמה / הרפתקאות / זר (דזונגקה),,movies/על קוסמים ונוודים.txt
979,http://www.torec.net/sub.asp?sub_id=37029,שובו של הרקולס,2014,95 דקות,הרפתקאות / פעולה,,movies/שובו של הרקולס.txt
980,http://www.torec.net/sub.asp?sub_id=37026,האישה האחרת,2014,109 דקות,קומדיה,קמרון דיאז לזלי מאן ניקולאי קוסטר-וולדו טיילור קיניי דבורה טוויס שאד רוף ג'יאן,movies/האישה האחרת.txt
981,http://www.torec.net/sub.asp?sub_id=37025,בל,2013,105 דקות,דרמה,גוגו מבאטה-ראו דניאל ווילד אי אלכס ג'נינגס וויי בט'אן מרי-ג'מס דוויד גנט ו סוסן ברוון אנדרו וודל,movies/בל.txt
982,http://www.torec.net/sub.asp?sub_id=37018,טר,2012,72 דקות,דרמה,ג'יימס פרנקו הנרי הופר מילה קוניס זאק בראף קימברלי הארש ג'יין היפט דניקה ירוש,movies/טר.txt
983,http://www.torec.net/sub.asp?sub_id=36996,הזקן בן המאה שיצא מהחלון ונעלם,2013,114 דקות,דרמה / הרפתקאות / קומדיה,רוברט גוסטאפסון אי איוור וויקלנדר דוויד וויברג מיה סקרינגר ג'נס הולטן ביאנקה קרוזאירו אלן פורד,movies/הזקן בן המאה שיצא מהחלון ונעלם.txt
984,http://www.torec.net/sub.asp?sub_id=37014,באטמן תקיפה בארקהם,2014,75 דקות,אנימציה / פעולה,טוני טוד קווין קונרוי טארה סטרונג קארי פייטון ריק די וסרמן גריי דה-ליסלה קריספין פרימן,movies/באטמן תקיפה בארקהם.txt
985,http://www.torec.net/sub.asp?sub_id=37007,תקועים בחופשה,2014,117 דקות,קומדיה,אליוויה אלין לינד אמנואל מטסרו דרו ברימור אדם סנדלר טרי קרווס קווין נילון ונדי מקלנדון-קוביי,movies/תקועים בחופשה.txt
986,http://www.torec.net/sub.asp?sub_id=36993,ארוכה הדרך למטה,2014,96 דקות,דרמה / קומדיה,אהרון פול טוני קולט אימוג'ין פוטס פירס ברוסנן,movies/ארוכה הדרך למטה.txt
987,http://www.torec.net/sub.asp?sub_id=36977,רק האוהבים שורדים,2013,123 דקות,אימה / דרמה / רומנטיקה,טום הידלסטון טילדה סווינטון מיה וסיקובסקה ג'ון הרט,movies/רק האוהבים שורדים.txt
988,http://www.torec.net/sub.asp?sub_id=35765,ספיידרמן המופלא 2,2014, ,הרפתקאות / פנטזיה / פעולה,אנדרו גארפילד אמה סטון דניס לירי ג'יימי פוקס מרטין שין מרטון סוקאס כריס קופר סאלי פילד פול ג'יאמטי,movies/ספיידרמן המופלא 2.txt
989,http://www.torec.net/sub.asp?sub_id=35348,קפטן אמריקה חייל החורף,2014,128 דקות,הרפתקאות / מדע בדיוני / פעולה,סמואל ל ג'קסון כריס אוונס סקרלט ג'והנסון רוברט רדפורד,movies/קפטן אמריקה חייל החורף.txt
990,http://www.torec.net/sub.asp?sub_id=36964,תפנית,2011,82 דקות,דרמה / מתח / פשע,אמה בות' איי דוויד ליונס טראוויס מקמהון רוי בילינג גלן מק'מילן אנדי אנדרסון כריס האיווד,movies/תפנית.txt
991,http://www.torec.net/sub.asp?sub_id=31948,פריט 47,2012,11 דקות,הרפתקאות / מדע בדיוני / פעולה,,movies/פריט 47.txt
992,http://www.torec.net/sub.asp?sub_id=35759,הרופא הגרמני,2013,93 דקות,דרמה / היסטוריה / מתח / זר (ספרדית / גרמנית / עברית),נטליה אוריירו דייגו פרטי גיירמו פנינג אלכס ברנדמול,movies/הרופא הגרמני.txt
993,http://www.torec.net/sub.asp?sub_id=36963,ריו 2,2014,101 דקות,אנימציה / הרפתקאות / קומדיה,ג'ון לגוויזמו ג'יימי פוקס אנדי גרסיה אן האת'וויי לזלי מאן ג'סי אייזנברג ג'ורג' לופז,movies/ריו 2.txt
994,http://www.torec.net/sub.asp?sub_id=36922,רוץ מילקה רוץ,2013,186 דקות,דרמה / זר (הינדית),פרהאן אקטר ארט מאליק,movies/רוץ מילקה רוץ.txt
995,http://www.torec.net/sub.asp?sub_id=35166,מפוצלים,2014,139 דקות,הרפתקאות / מדע בדיוני / פעולה,אשלי ג'אד טוני גולדווין קייט ווינסלט מקי פייפר מגי קיו בן לויד-היוג'ס זואי קרביץ',movies/מפוצלים.txt
996,http://www.torec.net/sub.asp?sub_id=36934,התעלות,2014,119 דקות,דרמה / מדע בדיוני / פעולה,ג'וני דפ מורגן פרימן קול האוזר קיליאן מרפי רבקה הול לוס ריינס פרננדו שיאן,movies/התעלות.txt
997,http://www.torec.net/sub.asp?sub_id=35491,המבול,2014,138 דקות,הרפתקאות / דרמה,ראסל קרואו אמה ווטסון דאגלאס בות' לוגאן לרמן ג'ניפר קונלי אנתוני הופקינס קווין דוראנד ריי ווינסטון מרטון קסוקס דקוטה גויו מארק מרגוליס מדיסון דבנפורט,movies/המבול.txt
998,http://www.torec.net/sub.asp?sub_id=36923,מחתרת ניו יורק,2013,87 דקות,מתח / פעולה,רוב מאיס דריק וויליאמס קסיי קליין כרופורד שון פריס איבן רוס אריאל קבל קהאן באיקאל,movies/מחתרת ניו יורק.txt
999,http://www.torec.net/sub.asp?sub_id=36919,האקדמיה לערפדים,2014,104 דקות,פנטזיה / פעולה / קומדיה,גבריאל ביירן ניק גילארד שרה היילנד קלייר פוי זוי דוץ' בן פיל סמי גאיל,movies/האקדמיה לערפדים.txt
1000,http://www.torec.net/sub.asp?sub_id=35896,להאיר את השמים,2013,96 דקות,דרמה,סומריט וורין,movies/להאיר את השמים.txt
1001,http://www.torec.net/sub.asp?sub_id=35895,השג לך סוס!,2013,6 דקות,אנימציה / סרט קצר / קומדיה,,movies/השג לך סוס!.txt
1002,http://www.torec.net/sub.asp?sub_id=35894,לתפוס את המזל,2013,86 דקות,פעולה / פשע,לוק טרידוואי אמילי אטק קרייג פיירבראס ג'יימס קוסמו,movies/לתפוס את המזל.txt
