מילה,מספר מופעים<- מספר סידורי
אורסולה,4027->3,3129->2,1834->2
כורים,762->1,4768->1,767->1,4284->1,4186->1
כורין,740->2
ומנופי,4282->1
ניזונים,2241->1
ומיני,3988->1,1001->1
שהכישורים,167->1,4617->1
וולפנדן,1993->2,3797->2
בטוסקנה,1121->1
למניפולציה,4878->1
בחבילה,3024->1
רוסום,593->2,3493->2,640->2,3898->2,1476->2,3986->2
יפתחו,4959->1
כחלל,3132->1
דבריהם,3232->1
בחבילת,4375->1
ביופיים,2355->1
פרינז,111->2,3380->3
שוממות,4841->1
שצורף,3799->1,4432->1
ביופייה,2525->1,4767->2
עקרה,3730->1,2258->1
בליגה,3166->2,2187->1
קונגית,3498->1
Vengeance,3176->1
פונדק,4603->1
גולגולתה,4416->1
שינסוק,4895->2
קופיקאט,2451->2
המובך,1123->1
בלתזאר,2877->3
לבנייה,2061->1
איירון,4685->1,1818->1,954->1,1355->3,2843->3,4228->2,2973->2,510->1,1904->2,4847->1
רקדנית,4909->1,3545->1,4462->1,4669->1,4343->1,1186->2,2704->1,1861->1,2491->1,1875->1,2686->2,362->1
דונאלנד,4741->2
ביקורתית,4727->1
מזרנים,3978->1
לאולה,1418->2
קרי-אן,3678->2
טרקטורים,3226->1
כומר-לוחם,2353->1
בריאזה,4856->2
שהבעיות,3197->1
התנהגות,4966->1,698->1,3405->1,3007->1,3213->1
בגורלם,1014->1
ובנותיו,3826->1,4964->1,4184->1
ובנותיה,556->1,1770->1,1530->1
סומפטר,1061->1,3881->2,1737->2,866->2
הזדוני,4307->1
וכאוס,1078->1
וסיגנונן,4506->1
הולנד,3700->2,4759->2,4061->1,2127->2,629->2,1125->1,3223->1,615->2,2155->2,1443->2,4650->2,1562->2,4800->2,94->1
ומגיעות,3096->1
פלטון,854->2,449->2,1780->2,1238->2,2307->2,1932->2,1692->2,4782->1
רקדנים,1861->1,3545->1,2438->1,683->1,3589->1
הכפשות,1373->1
כתמונה,1335->1
יפגשו,158->1,4588->1
שונאי,2036->1
48,4045->1,4814->1
לבניית,3834->1,1538->1
קיוקו,3996->2,4895->2
וניחוחות,637->1
ולעצב,1705->1
מההרס,2792->1
לשותפתו,78->1
