מילה,מספר מופעים 
למקצוענות,1
אצלם,5
פיטצגרלד,2
ושתקן,2
ויסגור,1
וטריקים,1
דיאבלו,3
נשלטים,3
וזיהום,1
מקיקיני,2
התנכלויות,1
וזיהוי,1
היפנוזה,2
חבילה,8
יורקיות,1
לארבעת,2
שתעלה,1
שאריות,5
לובשת,2
מהבאת,1
ג’ין,4
מצתייד,1
הקומוניזם,2
גיאוף,2
לסבית,5
הגונב,1
ג’ים,2
הגונה,1
בריידל,2
פיליפ,144
ומוצב,1
בריהל,4
תוצרת,3
הורית,21
והכאוס,2
שלמים,10
שגורש,1
פווונרגה,2
קאזונרי,2
המרעישה,1
האדרנלין,2
הורים,19
והאישיים,1
קוציסולה,4
ומעשיו,1
ואישתו,9
הוריה,42
יאצק,1
כשהאחות,1
יוטה,4
מיץ`,5
רגו,2
לתוהו,2
וקנת,1
מטאפיסית,1
ההיפוך,1
וגנדאלף,1
כשמרד,1
גראלד,8
האכזריות,3
המלאכים,3
דנדלה,2
רפהין,2
טהראן,2
לפשיסט,1
לגעת,20
דביר,2
משמעויות,2
[ג'ורג',1
מניאטיס,2
אנושיים,9
דביס,6
דבין,2
איומות,1
קלבה,6
דביל,1
מבטן,2
הפיראטים,9
שלילי,3
מבטל,2
מקפרסון,5
מבטא,5
ונערתו,1
מבטו,6
מבטה,1
המצטלבים,2
מיץ',2
סדרתית,1
שהמדען,1
כשנדם,2
פאוסטינו,2
המשומרת,1
שמשגע,1
חץ,4
ושיני,1
בקשותיהם,1
חס,3
השכירים,1
הסתבכותו,2
חת,5
חש,14
days,1
ליאם,124
להזדהות,3
ליאן,10
עולה,48
הטורקים,1
הנערצים,2
ליאו,36
מסייעות,1
מולדכם,1
ולהיות,12
מלורי,5
לאנימציה,2
הנרצח,4
בלתה,1
בלתי,290
אדרווד,2
צ'קים,2
באומן,1
טחנת,1
חד,38
חג,81
מתבקשות,1
חן,12
ולילדיה,1
חם,17
חל,1
טריים,1
חי,101
מהמאמץ,2
איבצו,1
קומץ,3
מיקאל,6
האנסראג,2
טומישו,2
וגורלותיהם,1
משולש,19
המבול,2
כמיתוס,1
קומר,1
לגשת,1
המבוך,5
בצעירה,1
עתק,4
באביר,1
וויויקה,2
הלזניה,1
קאז,1
בתולים-חסרי-מזל,1
גייטון,4
התגולל,1
פונומאריוו,2
הרועשת,1
באביה,2
באביו,6
באביב,4
קומה,2
נמכר,5
המאכלסים,4
באינדונזיה,1
מניצולי,1
וויילנדזיאק,2
הסתגלות,1
למאסר-עולם,1
קומן,6
קומט,3
קומי,16
השחיטה,1
שסייפר,1
המגע,2
האהוד,2
ואלהלה,2
קיוואה,2
מידרדרים,1
מתעסק,1
בהברחות,1
החזרות,5
ונקלע,4
מתווכחים,1
אלמנטריים,1
ווישאו,8
נוירוטית,3
להיכבות,1
מתוקשרת,1
ששוחרר,4
הבדיוניים,2
שעוסקת,3
צפויים,11
ומערכות,4
בוונס,2
המתפרץ,1
מאלצות,1
יאנו,2
יאנה,2
סנטיאגו-הדסון,2
מתפרע,1
מתפרק,4
הצלצול,4
מתפרץ,5
יכול,166
פולניה,1
טולקיין,1
סוזנה,5
סטויאנובה,2
ביכולתה,1
וטובת,2
איינדומינוס,1
אודומס,2
וטובע,2
מורניי,8
רו'גרו,1
ואחות,4
מהונאה,1
מפיטורים,1
וטובי,1
וטובח,1
וטובה,1
פולנית,1
השלישיתוקצת,1
פרסנל,4
היפני,24
להתמקח,1
להתמקד,4
התחנה,7
ומניב,1
וזורק,2
ורונה,1
שמאיימים,3
ובלאק,1
הוכתר,2
הגנטי,2
להוטים,1
משקר,1
המנהיגות,2
סוטיריה,2
הלאמות,1
אפוקליפסה,9
משקה,3
מדהים:,1
להימורים,2
דאחמני,2
מקסיקני,4
ולחלום,1
talsurfer001,6
עצלנים,2
והתעללויות,1
אנטואנט,1
וזורו,1
ותוצאותיה,1
הכשפים,2
ומניע,1
להבשלה,1
הנשימה,6
במשככי,2
וזורם,1
נפשית,12
המוסרי,2
''רעב'',1
ה-NYPD,1
בהגיעו,1
לחצים,4
והמעבר,3
על-ידי,53
מונולוג,1
בטיפות,1
שתעלים,1
לחציו,1
ירוק,5
בטיפוס,2
הברבור,1
מדעתו,4
ברקע,5
בה,277
בז,1
מהמפורסמות,1
למסובכת,1
בד,8
בג,4
השלב,4
בל,198
ברקר,6
השלג,14
בי,40
בט,17
בך,2
בק,9
בס,12
בנ,1
ברקו,6
הקאמפית,1
או…,1
בר,37
ברקל,6
בת,239
ותושביה,2
בטיפול,8
עוצרות,1
NASA,1
שבזכותו,1
ומהקסם,1
טרורעל,1
פיטקו,4
פיטקה,1
בפרט,4
קירקפטריק,2
דתיות,3
בצלילה,1
ראויה,3
תחרות,25
בפרך,1
המודרניות,1
הקנדית,1
האדפטציות,1
אוביקטיבי,1
הלוטשים,1
IRA,1
פינטר,3
הניאגרה,2
ג'פה,1
למחייתה,1
למחייתו,5
שסוכני,1
התעלה,2
אדון,29
שהוגשה,1
שיחזרו,1
התעלל,1
שאינן,3
ודרמטית,2
שאינם,8
אוקוולי,3
חמלה,9
לאליסיה,4
Torecעל-ידיkikmastrמצוותTorec,1
שאינו,40
שאינה,14
וגולום,1
ניולי,3
מחיר:,1
המסמך,2
איישה,8
בלונה,1
בלונג,2
המסמל,2
עלומה,1
בלוני,1
הברורים,1
פרימיטיבי,1
והמאוד,1
קאלו,9
קאריו,18
מיועץ,1
קאלב,1
סאלפארו,2
קאלן,7
דנמן,4
קארים,4
קארין,18
קאלט,6
קאריס,16
קאלף,2
Franklyn,1
קאלס,2
מעצבן,1
בתנועה,8
למבצרם,1
קאלר,2
ומחווה,3
באדים,2
וזמנה,1
וזמנו,1
מפוברקת,1
כבלון,1
בפרק,8
וזמני,1
91-95,1
מכשפת,3
שיינצל,1
קומאק,1
טאנוסרי,2
הסטריט-וור,1
נחנק,2
בפרס,81
קומאר,5
הקרובים,11
בעיטה,2
השתבש,3
התוקפניות,1
שאזה-שרון,1
ההודים,2
קבע,6
ללחימה,6
באלבן,4
סרסור,1
סטרג'ס;,1
Doubleday,2
ההודיה,3
קבה,6
מתחרים,8
ממוסד,1
במגמת,1
קבל,29
קבן,2
ולקיים,1
קבי,1
ולקייט,1
וסילי,6
להכניע,4
בקורבן,1
בפלרמו,1
להכניס,13
נקטע,1
ג'ראלד,1
ופעילי,1
ופעילה,1
בכתר,1
בתהומפני,1
מכשפה,8
במתאגרף,1
דמיינו,3
הוראה,4
מרהיבה,10
צנווט,12
טיבה,2
טועה,5
טיבי,1
11:11,2
טוען,17
ג’ו,1
ושקול,2
יודע,98
צנוות,4
המושלג,2
ומוכנסת,1
מסוק,3
ובזמן,4
המשפחה,156
בדוגמניות,1
סוסוקה,1
שהכניס,1
פיצג'רלד,2
מרהיבת,1
הכורים,3
הוצאה,1
הוצאו,2
צמפיון,2
לנצחון,3
ליום-הולדת,1
ספרותי,2
לקללה,3
הוראס,5
שאנשים,9
קרנהם,4
קרנהן,1
הלאומית,5
שאנשיה,1
תוספת,1
מולדתה,1
מפול,1
שמשלב,3
להיעשות,4
בשידור,13
והמעופפים,1
ודונלד,1
חשודים,4
מפסיקה,5
תומסון,14
חוקריו,1
מתמטיק,1
להמשך,4
ברעב,1
וסיסיליה,1
ההתנגשות,1
ודט,2
מוזהב,1
רישום:,1
בהבנה,1
ובוק-נאם,1
מהתלמידים,1
זא,2
שהנקמה,2
מפות,2
לנחת-,1
הוגאן,6
פיירבנק,2
מסך,8
אמייאו,2
מקאולי,3
שבחר,4
וצרורות,1
גירנגר,1
מסה,4
טיפול,11
בלוקימיה,1
סלטים,1
אדיפליים,1
טיפוח,1
ודאג,1
חממה,1
ילדיהן,4
ילדיהם,21
זר,31
בחליפות,2
שאגנסי,2
בוקרות,3
פארטי,3
טיפוס,18
הייסמית',1
האיומים,4
שלהפתעתו,1
חברתה,17
מקומות,8
ומישהו,2
ולסיים,2
בסאנדנס,2
סבטלנה,2
האורחים,7
וחרקי,1
לאמצע,3
ההלניסטית,1
פארליי,2
אסבדו,2
זלוויגר,3
חברתן,2
עבד,19
המציגים,2
האונייה,4
מהמלון,1
ולהציב,1
מאורה,16
מאורו,2
ולהציל,36
מאורח,1
קראון,4
בסלע,1
המשתלבים,1
שתחת,1
צמפה,2
בעידודו,1
מאורת,2
בכרך,1
מוולשי,1
בכרי,2
הממוצעת,1
מאורס,6
בתערוכת,1
קראוט,4
שראש,1
הוטמן,2
חברתי,8
עבי,1
המשדרים,1
Zumanity,1
ותיקים,11
שגעונו,1
הסכמים,1
חופות,1
פיוטית,4
מובאות,1
אויילו,2
טקטיקות,2
איסטוד,1
הסיידקיק,1
שמתבצרים,1
כסנדרה,2
שאברג,2
דלתות,4
שבהווה,1
איסטון,3
אומללה,3
לנשקים,1
נקניקיות,1
הניצבת,2
מההפקה,1
ונשואה,1
חטופים,4
הספידו,1
גילנהאל,2
למגמה,1
ב-1954:,1
המחזמר,9
מתרסקים,1
ג'ואיסון,1
הדמיוניים,1
תעזור,4
רומח,2
האפרו-אמריקאית,1
רומה,4
בסמלי,1
רומא,7
רומן,126
דרק,72
ועליו,8
ועליה,8
רומי,12
כתחנת,1
ומחושב,2
הספיקו,1
הספיקה,4
ושיכלית,1
שבשלמות,1
תמאיו,2
קסוביץ',1
כשחקירתו,1
פעוטה,1
האוד,2
גאוני,5
מעורבותה,1
סופשבוע,2
רוקמת,2
איוונוביץ,1
ומרוחקת,1
שינג'וקו,1
שבתקופת,1
טריינור,3
רומר,6
בו:,2
הגבול:,1
ונתנו,1
ששיכים,1
מרמדוק,2
יוליוסון,2
ומה,48
פונדר,2
פריני,2
ומג,3
ומד,1
פרינד,2
ומן,3
ומט,1
ומי,16
פרינה,6
פרינו,5
עקרת,11
שפיותו,8
להלשין,2
פרינס,10
ומר,4
פונדה,40
האמינו,2
בכישרון,6
בוקביק,4
לרנג'רס,1
אופסאימליקיט,2
1966-67,1
מהפרסומים,1
ותשע,2
פאולסון,6
ולחסלו,2
שית,1
שסופרו,1
מחייב,5
ברלאן,2
מחייה,9
סטאלין,2
מחייך,1
מפלצת,28
הזכורים,1
הוותיקים,5
ברכות,4
כשנקר,1
מחיים,2
פרוהסקה,1
קורברי,2
מהבתים,1
קרייבן,22
המתכונת,3
ג-ין,2
כמחוללת,1
מהמופע,1
בחסותו,1
ודרגו,1
להרביץ,1
מוליכים,2
והשכחנית,2
אליזבת:,1
האניבל,1
בוסקו,6
מרתקת,19
קטראקוס,1
'נקמתה,1
המוכשר,7
אליזבת',9
מלורה,3
שראה,5
ראיין,61
העזו,1
ראפיס,1
תשאלו,3
ראייט,10
לילדי,2
ראייה,6
צל,14
לשארית,1
צם,2
החשודות,1
טהורי,1
מהממים,2
מנהלת,38
1969,32
לקדם,3
ראוויצ',1
שהמדריך,1
שבפשטידות,1
מנהלי,2
סופית,7
מק'דואל,1
הוגאט,3
שיאקי,6
ולהשיב,9
גררה,2
גררד,6
ושודר,2
ההיפר-אקטיבית,1
החיבור,2
לילדת,1
ראפין,2
אקיקו,6
לחברו,7
לחברה,11
זהאנג,8
לחברי,6
ניסה,9
לחברם,3
ניסו,5
טושינקו,2
פרדיטה,2
סיסטו,19
מצויידים,1
world,2
פועם,1
פועל,23
דינלו,2
לאריק,1
בוחרים,8
נשדדת,1
פאונדלנד,1
לפאנטום,1
לרכוש-,1
היוונית,10
וורשאו,2
האומנם…,1
מדליקה,1
יבחרו,1
וחמורה-,1
מארק-פול,1
פרסלי,14
לחברת,4
כלאב,1
סיקור,3
מחפשות,4
שהוסתרו,1
המיוחד,16
וקופצני,1
והחץ,2
בנינג,19
במלכודת,12
משטרה,32
משטרו,3
לפטרל,1
התנהגויות,1
ורובה,4
ורובו,1
הזירה,8
נכתבו,1
נכתבה,3
ובמקלטים,1
גרטרוד,2
מלדן,8
משטרת,14
הקורן,1
להוטה,3
רומאי,2
הלחימה,25
לפיונגיאנג,1
תארה,1
תארו,4
והחל,3
והחם,2
מובילים,21
הנלוזים,1
נבלות,3
ריזו,2
ניתקפת,1
ולהשמידו,1
מרכך,1
‏‏המשפחה,1
מרכז,9
מרכב,1
שנשטף,1
הקורה,2
דוחות,1
רצף,7
נבל-על,1
קייס,7
שברחה,6
שברחו,2
אנסלי,2
סמאוג,6
רצל,2
שלובים,2
רצו,2
רצה,11
רצח,123
הקורא,4
לארגו,11
סולבק,2
מלוכה,4
נראה:,1
דרישה,2
לארגן,12
פינקיו,1
קיראן,9
מהתוכניות,1
פעולה,142
מהסם,1
קאמאקו,2
ואגו,1
קאר,15
ויופיו,1
ה-2000,3
קייט,291
קלוגרופולוס,2
לבוסים,1
פאנתאקי,2
מביקוריה,1
בקווינסלנד,2
שמוותרת,1
לעזרתם,9
מהמדשאות,1
ארצית,1
קייל,63
ולהבעיר,1
מבוכים,6
וצבוע,1
להתלונן,1
להודו,7
המיוחדות,4
והפסיכולוגיים,1
נרתעים,2
ברידג'פורט,1
מוותרת,5
ומשתמשים,1
מולקי,4
בנויה,2
בעמידה,2
הפסיכולוגיים,3
יורשו,1
ייאמן,9
יורשי,1
שהלכו,1
שהלכה,3
והתבגרות,1
לניצודים,2
כאסטרטגיה,1
המטאורים,1
המודחקים,1
לוקווד,4
לאופיום,1
יקרת,2
שגוסס,1
הטרמפיסט,5
יקרה,18
מהסלפסטיק,1
המטאורית,4
בהקמת,1
קסנדר,4
היגינס,32
מלייס,1
העוזר,3
לתוכו,5
תסכן,1
ונודניק,1
מבולבל,4
נורבו,1
יורשת,6
כעשר,1
בקנדי,1
בהמון,2
להאת'ווי,1
מפלרטט,1
תנהל,1
באומנויות,5
המשעשעת,2
ההשגחה,1
בגללה,1
ובלייז,1
עכביש,4
בסימנים,2
Giustino,2
ובליית,1
ולחיק,2
לפנסיה,2
ובלייק,1
שכרה,1
שכרו,1
לצניחה,1
קלונדייק,1
חול,4
התפעול,1
רודיאו,3
גולום,2
שנחווה,1
ומסתכלים,1
ומבינים,2
לעולמים,2
הסו,1
סין-יון,1
מההופעה,1
תמאטי,1
רוזמונד,32
הסן,1
הסל,2
הסם,1
סגורות,2
הסט,2
קסטינירס,2
בסביבתה,3
בסביבתו,1
מסעדן,1
גידול,7
שהתרסק,1
אוטסגי,2
מסעדה,12
קוטב,4
מאויים,4
Nacho,1
אזרח,9
ומלווה,3
גופ,2
כשהפלישה,1
סוזאנה,4
מסעדת,4
לשגע,1
התגרש,1
פייפר-פרגוסון,4
והפרקליט,1
הסף,2
כמשפחה,3
הפרטיזנים,6
העבוט,2
שמשכנעת,1
לסלק,2
דיסני-טבע,1
נדירים,4
הורבאת',1
לפסיכופאט,1
התרעה,2
שמקרי,1
וסימפתי,1
כשבתה,1
תרגיש,1
הבלוגרית,1
מסחרר,5
פיירפרנסיסרו,6
אומונט,4
כשבתם,3
הפנסיה,1
אתהגיבורים,1
תרגיל,6
לסוגיה,1
במעגלים,2
כלכלנים,1
גמסט,2
פניהם,1
ולנבור,1
'גלדיאטור',1
פרסי,61
באבק,1
מרצ'נט,2
נאלצות,6
פרידלאנדר,4
וילדותית,1
והחיות,1
שישתמש,1
הטרדה,1
נמזר',1
שישמשו,3
ואומלל-צ'ארלס,1
דיאמאנטופאולוס,4
שאותם,5
שבהדרגה,1
ימנע,3
זעם,21
לוחם,51
בשיתוף,9
מאליק,21
מאליס,1
ומגעיל,1
ראלף,83
מלהיב,2
שתפיסתה,1
מאלין,16
ראלי,4
נאבקים,20
מסגל,2
אמיתיים:,1
מתחברת,6
ימני,1
לוחץ,2
המאפיונרים,2
באינטליגנציה,1
בליטץ,2
המסוגלים,2
בשירות,15
סכום,15
שבנובמבר,1
מוסי,2
גבעה,1
עסקי,11
אלף,26
מחזיק,15
היטב,37
החשכה,2
entire,1
בכוחות,27
הדבורים,3
ירפאן,2
וחולמת,1
מזהירה,4
כלבים,30
שגידלה,2
בקוצר,3
גבעת,4
להנה,1
וונגקמלאו,2
ביודינמית,1
והזאב,2
שמתמודדת,4
כתסריטאי,1
להביב,2
להביא,61
להבין,71
שואמאנס,2
78,2
בדרגה,3
לפסלי,1
דרשי,2
מקנאת,1
קרבנותיה,2
פלסטינית,2
מהחשובים,1
ריאל,7
ריאן,204
המעורב,3
שפרדסון,3
לזהותו,2
ריאה,10
לנאדיה,1
האשראי,1
דה-ליסלה,4
שמפקפקים,1
גולדבוויץ,2
יורגו,2
יורגה,2
ברנינג,4
לפחדן,1
מסנאי,1
להזיל,2
האמריקנית,14
בדרגת,1
להביס,17
מרהיב,16
שואפים,3
והארמונות,1
מתגודדים,1
דרשר,4
בפנסילבניה,5
להרגלים,1
דונקה,1
ולרמוס,1
המודרנים,1
כעורך-דין,1
נוצצות,1
דונקי,2
הלטינו-אמריקאים,1
דונקן,4
אנדרי,10
ברצף,3
שישלכו,1
הנשיים,2
מציפורני,3
הצלחתו,7
הצלחתה,2
הצלחתם,3
קולהאס,2
ליהודים,1
לוקלנד,2
אוהבים:,1
לסחרור,3
חייו:,2
מהקורבן,1
השולטת,3
הבדויים,1
ארגז,1
ארגו,3
בסיסי,8
המודרנית,9
בסקופ,1
והנערה,3
ולהגר,2
עתיקת-יומין,1
וצדים,1
ניהל,5
חלפה,2
ויאוש,1
תנטוש,1
הנמל,2
ארלן,8
ארלי,10
Horadot,1
האיוט,2
לאולריק,1
מקרקעין,1
יירד,2
והצביעות,1
והסייף,1
יירש,1
האבנר,2
פטריס,3
פוטרגיל,1
החופשיים,5
לאטוס,4
מוניג,2
וליזר,2
וז'אן,1
מקבילה,1
מנמנם,1
ולהגן,4
המובטח,3
מורשאוור,2
בתאני,1
הלוני,4
סקנל,2
המריחואנה,2
המחלקתית,1
ולגעת,1
העסקה,8
רמבו,18
מהכחדה,1
העסקן,2
אולטימטום:,1
באדם,10
העסקי,1
הכיתה,7
שיעשה,4
שיעשו,2
'Doom',1
נזכרים,3
הנתבע,1
למקומיים,1
נמכרים,1
לסנאט,1
יוכיחו,3
מיטסונורי,2
מההכנות,1
בקובצת,1
החגורה,1
Asylum,1
גוננלה,2
לימים,3
לקיסר,3
קסמיהן,1
שנולדו,2
שנולדה,3
במהומות,1
לשנאת,1
תיירים,9
פוליטי,17
יואן,62
דוריה,2
שייפול,1
השמורים,2
סולימן,9
שקרובת,1
פוליטו,15
מסובך,14
מהיציאה,1
דוריס,16
אישיות,17
ממיטתה,1
דאנקירק,1
מילאנו,10
פרוייקט,4
מילאני,1
רגבו,2
הנאצית,14
מאת,79
היגאם,2
באקטז,2
ונלחם,3
שנולדת,1
ונזכר,1
לאפיונים,1
ממלאה,1
NZT,1
מאמוטו,1
הסטנד-אפ,1
מכוחו,1
יואב,2
שלטון,26
צנצנת,1
דג'אנגו,1
נדבקה,1
בכבלי,3
כאוטי,1
האינטלקטואלי,2
בלמידת,1
הסובייטי,3
הטיגריס,3
צאו,18
הכובען-קרונין,1
וזהויות,1
מטרויה,1
הבורמזי,1
לסטודנט,2
מזמן,22
בחושים,1
בוטן,1
ממלאת,1
נעמי,66
מאחורי,99
מונטיירו,2
ייתן,3
מאחורה,1
תסריטים,5
שלדון,6
לרשתה,1
שכבת,1
בקינסייל,37
שכבר,38
צאד,26
ולמבוגרים,1
מזכרות,3
גוכלין,2
נזרקו,1
ונטישה,1
דגש,6
חיתה,1
התעורר,2
דגה,2
להשתיקם,1
נזרקת,2
הלהב,1
ניצחה,1
דגן,7
דגל,3
דגם,1
הלהט,2
מאז,90
כאינדיאני,1
דגי,3
ה-10,7
שהוזרם,1
ה-11,10
ביחד,96
תאודור,3
הדרמות,3
נווד,7
נווה,1
למארקוס,2
יתאהבו,1
נווט,2
לחצר,3
ה-13,15
הולו,3
תקווה:,1
וו-סאנג,2
החרטה,1
בקסמיי,1
הולם,39
בקסמיו,1
הולי,37
באסון,4
הולך,87
הולק,2
שהעבודה,1
הולס,4
בוירג‘יניה,1
וטוויסטים,1
ותכנית,1
המתוחה,1
התלולה,1
מייל,18
הולר,3
מיטסוקו,2
בדימוס,7
קאמבק,2
המסירה,2
שהכירה,3
אף-על-פי,1
הומור,31
האטלקי,1
אספירציות,1
המואשמים,2
ומניחה,1
ההזדמנויות,2
פסקווה,2
פילדס,5
ואימץ,2
דיפ,4
דיק,39
מביתה,6
שינדלר,7
ברטצייד,2
ולהרוס,2
פגקוביץ,2
כהרף,1
מקפץ,2
המחזות,1
כשההתנהגות,1
המחזור,6
לג`ונגלים,1
פוגיוקה,2
ולהרוג,3
שביכולו,1
שמשחרר,1
דיי,31
יבטיח,1
Mandla,2
China,1
דיל,8
דין,168
השמים,7
דיג,3
דיו,8
ואימה,15
להסתבכות,1
נפשיות,2
ותתאהב,1
אויר,3
שמטילות,1
מוהר,4
אנגללו,2
גרנדיוזי,1
המבנים,1
הבוגרת,3
מקכן,2
במיסתוריות,1
אלאניס,1
המחאות,2
Westhoff,1
בולקווואק,1
וולקאם,2
טרקובסקי,1
במגרשים,1
הייסר,2
נושלה,1
סאנהיל,1
שיה,31
לייצר,10
במספרים,1
קירק,56
בתבונה,2
ולגמרי,2
להם:,1
מוהם,1
מוהל,1
לזוגיות,1
ביילדון,2
אגדות,10
והוריהם,1
הורשיו,4
להתרבות,1
שלטו,3
שלטה,2
במאיירים,1
ההסתננות,1
בקדילק,1
כרמן,26
שארף,1
שארע,7
ומערבבת,1
ונאנטיני,2
שארק,1
ורן,7
וגארת',1
ונאנטינו,2
חג-המולד,2
מרעש,1
המחר,9
הנאציזם,1
בנדרס,43
טרגית,5
תושב,7
שארם,2
שארל,1
טרגו,24
ויצירת,1
רוט-רוונד,4
ההזדמנות,23
והאפל,1
בלאנטין,2
המתפתחת,1
שהדירה,2
מתקופת,9
כוסי,4
תגליות,4
חירב,1
מהדורה,6
דגיגוני,1
בקידום,1
מוחשית,1
שנטזר,2
אמריך,6
המתפשט,1
ליערות,8
כעוסקים,1
דאל,15
דאם,63
דאן,63
השמאל,1
דאב,2
ולנוס,1
האקסיות,7
דאז,2
פסבנדר,3
דאר,6
דאש,19
bodyguard,1
אלקטרוני,2
התכניות,2
בביקור,1
דאס,6
דאף,20
ולנוח,1
דאץ,2
הסטטוס,1
לתוכנית,8
אמריק,4
ומגוננת,1
דדלי,3
מהדורת,5
חירש,2
ומגוונת,1
אמריש,8
חוברת,10
באילינוי,1
סרג'ו,1
יומיומיים,1
בקניון,5
נלקחות,1
פציעות,3
החלוצים,1
בנגמין,38
הלימוד,3
לנור,1
נובוהירו,2
המילים,11
מתהפכת,1
סטלנים,1
מיטש',1
התייחסות,1
והגאדג'טים,1
האיסורים,1
לגדל,13
שזוג,1
כיחידות,1
שסיפור,1
קאגאן,1
הותיקן,1
לצוללת,1
רבה',1
יטפחו,1
הבליץ,2
אברלי,3
הותיקה,2
זיטה,13
אי-שפיות,2
איחרו,1
מאמריקה,1
אפריקאי-אמריקאי,2
שיילו,2
שיילך,1
פארינאו,8
בדפורד,3
מתבקשת,5
ואיטי,1
אפל,65
פילון,2
החרבה,1
הממשיך,3
לכפות,3
שלמראית,2
הבאקו,5
התהילה,13
ולשפר,1
במינסוטה,1
אפר,1
דחף,3
מקקמברידג,2
אפס,40
סטראפי,3
והצלילית,1
אידה,13
אידו,2
הקפיטול,5
בדעתן,1
סירופ,2
רעועה,2
ההכנסות,1
אסייר,4
לראשונה,50
נהרגו,5
נהרגה,6
להיכשל,2
בכפרים,3
תרמו,1
סאוומורה,2
מדרך,2
לאלינור,1
ונדלקת,1
רילנס,2
דיי-לואיס,5
במלך,5
הנתרם,1
פואיג,1
ומטילות,1
שלפני,18
סיסיליה,2
אוקסברו,2
אלקטרז,2
אלקטרו,1
אלקטרה,14
betsy,1
שיעמוד,3
ונדרהאם,2
פורצת,16
ומיודעינו,1
נהרגת,3
הכרנו,1
סנגורו,2
שיעמום,1
והתרסות,1
ולאשתו,1
בוערת,9
צסטנאט,8
מבוצעת,1
מהפשיזם,1
שלולה,2
זמרות,1
שימת,2
תרבויות,7
שישים,5
שימש,6
שישיג,2
שישיב,1
שיגרתית,7
בלזה,1
להברק,2
ורחצה,1
מושקעות,1
ולנוער,1
שימו,4
שקיים,2
שקייט,4
חושביםעם,1
הפלמנקו,1
ביסון,4
משכונות,2
תכניתו,3
הממסד,7
ויגרום,2
האפריקאיים,1
לחמולה,1
אדישה,2
פראיים,3
פראיין,2
עיר,79
ריד,63
במאפיה,4
ריב,15
ריז,2
ריח,1
ריה,5
ריו,25
זרון,2
שהחודשים,1
מקקאוץ,2
ריי,209
בהיריון,2
רין,2
רים,5
מקקאון,4
שיבטל,2
ריס,88
ריצ,8
ריק,75
ריפ,19
ריץ,10
רדומים,1
האריאט,2
ריר,2
עיד,2
דקפריו,10
זרות,3
זרור,2
כיצרן,1
שמוגדר,1
אימהיים,1
המונהגות,1
המעודד,1
פראייר,1
האמצעית,1
ואורלנדו,1
פרוגנר,2
הפקר,6
לבזבז,3
בובות,6
ולהחליפו,1
מהכסף,1
שתחתיה,1
התבגרו,4
ובולט,1
הגחלילית,1
להדוף,5
מהזוית,1
צאצא,3
השלגים,1
זימה,8
בגיל,50
תגלו,1
ולחומר,1
הטובות,17
הקוסמוס,2
תשמיד,1
פנגבי,2
מסווגים,1
מקצר,1
בארטקוביאק,1
בדירוג,1
מעבר,77
מעגלים,1
מירכל,2
למונקו,1
מרזאק,2
אצל,87
דרקולה,16
ברוחות,3
בארה''ב,1
איקואה,2
ניוקאסל,1
המודיע,6
סכיזופרן-פסיכופט,1
התעלמות,4
בתה,37
בתו,113
הצעקה,2
18:32*הסרט,1
בתל,2
בתם,10
להאריך,3
מהאלבום,1
בתי,10
והסיוטים,2
האמריקני,17
הסנדק,10
ברנון,2
חילזון,1
חוואי,7
it's,2
ורגארה,4
האמריקנה,2
במות,9
ארבלה,2
ארבלו,4
כ-35,1
לשיעבר,1
הנעלה,1
בודיי,2
בודיל,4
ולוקחת,4
אוקונאל,2
בתיקון,1
לאילמת,1
בהדחקה,1
העיצוב,6
מנקודה,3
לימודי,3
נלסן,2
שמגה-מיינד,1
מטריות,2
מטאליסט,2
ומספקים,1
מלמדות,2
קראפורד,3
נוטוריוס,2
מלחה,3
טריפטיך,1
ששנה,1
קובץ',2
ששני,8
למחנה,12
בספרי,1
גוברות,1
מנקודת,13
בצרה,4
מגדלי,4
לשלנו,1
כשרונו,3
כבשו,1
גינקל,1
בעיניהם,4
כבשן,2
שוקע,5
שפיראטים,1
ברינהולץ,8
'ג'רזי,1
'ילדות,1
שנתיים,18
המזבח,1
הושלם,1
בבור,1
לאנג,36
טקאוקה,2
בטרסון,4
וויילדר,7
אנתרופולוגית,1
שוקל,2
מעודינו,1
שוקט,1
והרגה,1
הנכון,24
ועבודתו,1
בקשיים,6
כבשר,1
עיוורת,10
התפתחות,4
סטרונג,54
וינטג',1
הטמילים,1
צאפי,4
מתפרקת,3
והשיטות,1
גרלין,8
קוסמופוליס,2
מאמצת,3
כואבות,4
האנרכיה,1
אנטיכרייסט,2
תככיו,1
כלטה,2
שלמרות,7
מאמצי,1
תככים,8
האירגון,2
במכונה,3
לדילמה,1
הזמנים:,1
ההדברה,1
מכושפת,3
המחזיר,1
הדיגיטילי,1
תלחצי,4
באירן,4
ווסיקובסקה,2
הרטום,4
בורנמסטר,2
המתחרים,6
אמיתי,105
ההזיה,1
לומאקס,2
תווליס,20
הטיפוס,4
הקולנועיות,3
שצפים,1
התורקי,1
מסועפת,1
קורמאק,1
שנקראת,4
ומיותר,1
כזה,20
כזו,7
וחובר,5
וצבאה,1
מרלינג,10
המכולת,1
לוורט,2
הטיפול,9
גוסטפסון,3
תופסון,1
שארנקה,1
כשלצידה,1
דרום-מערב,1
סייגנר,2
גורינג,2
לעצור,99
לחניונים,1
ומקגרגור,1
לרגליהם,3
ביתיים,2
גאבן,4
