מילה,מספר מופעים
חנויות,2
גנבים,4
להתנסות,1
מייסדי,1
ברמזים,1
סלטון,3
שהעניים,1
מירוצים,3
השר,3
גיקובס,2
ומצור,1
ויוליה,6
תחושת,10
גנני,2
תחושה,4
כשהרקעים,1
אספילאגה,2
השש,8
נרימייה,2
הורנבי,4
מהקיץ,1
וכוחניים,1
רוצחות,1
לפגישתן,1
274,1
מרימנטה,2
ונכסיו,1
זינוקי,1
בסיוע,4
ומבריחה,1
ירוקה,7
מאוס,4
Chicago,1
האמריקאים,22
בסיור,2
מאות,33
דמויותיו,1
מאור,8
מעסיק,1
ססאנו,2
דס,2
מגסי,1
לחלוקה,1
וסיימון,2
שאלכס,3
הפיתרון,2
ינקו,4
הסטון,30
דק,6
that,2
אחראי,26
המתוסכל,3
מאוד,202
סקאנדר,4
They,1
ירוקת,1
בסיוט,4
בסיום,4
ראיית,1
ישדוד,1
ברווסטר,2
גמלאים,1
פקידים,1
שמאחורי,16
גריינר,2
בשנים,20
סאקסטון,2
תנינוזאור,2
העדויות,1
מדובאי,1
מטופלת,2
ושמות,1
בריסבי,2
שהעדיפה,1
ברומניה,2
מצמררת,7
הרציני,1
בשנית,9
מאבודים,1
במוקד,2
בימוי,7
דל,53
הטלוויזיונית,4
המוקשים,3
בבראנץ',1
אואסטריץ,2
ההסמכה,1
שמועמד,2
הפרבר,2
שמפלצות,1
להמוני,1
שמפצירה,1
גרהם,6
מקצועיים,6
מנהטן,17
פרנססה,4
לאלכוהוליסט,1
יאגאמי,1
ולמען,1
למערב,8
המכוננים,1
לראש,10
למערה,1
לוסינדה,3
כרוכה,2
הפוליטיקאי,2
לשיירה,1
מפטרלים,1
בטחוני,1
חוסה,5
לראי,2
למערת,1
בטחונו,1
בטחונה,1
ולהתראות,2
שמחמם,1
18,34
פרנססק,2
לאוגוסט,2
ומעזה,1
לוראל,2
עסקיים,2
האירוסין,3
ונורה,12
ונורא,3
במאזן,1
שבעיניים,3
מאלו,5
התנגדותה,4
התנגדותו,4
מאלן,2
מאלט,6
לשכן,3
המוקסמות,1
מאלק,13
מאלץ,7
מאבקיו,1
משלחת,15
הדיסק,12
מאבקים,1
סאקר,2
Rip,1
צלבנים,2
במגילת,1
היעלמותו,8
לזאריני,2
שיאזור,1
ויתבטאו,1
סוגרים,10
היעלמותם,2
וולבורן,2
בארקר,4
למאה,4
לתחושת,2
חירותם,1
ודרמה,4
והעיר,15
heirloom,1
חירותו,1
שלה:,2
סקוגינס,2
לצמד,4
והשיגה,1
ואלכוהול,3
להדגים,1
והמדכא,1
גאמורה,1
נתנאל,6
מהסגל,1
להדגיש,1
טרנספורמציה,4
האתנית,1
ודמיונם,1
היורשת,3
להיווצר,1
מוותרות,1
ודמיונה,1
מדווח,4
לוינה,1
שליליים,1
אתהדמויות,1
ומחשבה,2
בהמצאה,1
להגנת,12
לתגובות,2
העלמותה,3
קריפטונייט,1
בולסו,2
החוש,4
החוק,65
החוץ,2
כתחליף,1
שנפרקים,1
אדמסון,1
הקרימינלים,2
טגמאוי,6
למשך,16
דנטה,28
איילסבורי,1
הנתקלים,2
למשל,11
מלריה,1
מאכל,1
לאנאי,2
קרופורד,26
